EP01: IN
EP01: おっす | 早
EP04: いろいろ段階飛ばし過ぎだよ | 你这步子迈太大了吧
EP04: 鈴木　谷くんと同じツッコミしてる | 你这句吐槽和谷同学一样
EP04: 脳　同期してんの | 大脑同步了吗
EP04: 何それ　破廉恥 | 说什么呢 太羞耻了
EP04: そうか | 有吗
EP04: もう　山田はまだ分からんのか | 真是的 山田还没搞懂吗
EP04: 逃げた　てれ逃げだ | 逃走了 害羞了吧
EP04: もう　ほんとに　もう | 真拿他没办法
EP04: なあ　谷　今日ここ何時上がり | 喂 谷 今天几点收工
EP04: シフトの時間聞いてくる　クソ客みたいなこと言うとる | 问人家几点下班 你这也太像烦人的顾客了
EP04: 開放　開放 | 总算结束了
EP04: 開く　放つ　感じる開放感 | 轻松自由的感觉太棒了
EP04: 谷くん | 谷同学
EP04: なんかごめんね　邪魔しちゃって | 感觉有点抱歉 打扰到你了
EP04: いや　ふだん放課後ほとんど人来ないから | 没有 平时放学后几乎没人来
EP04: 面白かった | 还挺有意思的
EP04: 面白かったんだ | 原来他觉得有意思
EP04: なあ　なんか食って帰ろうぜ | 我们吃点什么再回去吧
EP04: 今　なんの口 | 你们想吃什么
EP04: ビビンバ | Bibimbap
EP04: ピビンパ | Pibimpap
EP04: いいね | 不错啊
EP04: 行こ　行こ | 走吧走吧
EP04: 「バ」？ | 「ba」？
EP04: 谷くん　ちゃんと「パ」って言ってる | 谷同学还真说「pa」啊
EP04: 鈴木さんがそれが正解って言ったんでしょ | 你不是说这才是对的吗
EP04: いや　そうだけど | 是这样没错
EP04: ビビンバの方が言いやすくない | 但Bibimbap说起来更顺口嘛
EP04: ゴー　ビビンバ　ゴー | Go Bibimbap Go
EP04: 鈴木ああいうとこあるけど | 铃木就是这样的性格
EP04: まあ　谷くん　頑張って | 总之加油吧 谷同学
EP04: なに　二人コソコソ私の話 | 干嘛 在悄悄讨论我吗
EP04: その自信　どこから来るの | 你哪来的自信
EP04: おーい　置いてくぞ | 喂 不等你们了哦
EP04: ビビンバる気あんのか | 还吃不吃Bibimbap啊
EP04: ある　ある　めっちゃビンバる | 吃吃吃 超级想吃
EP04: 石焼きがよかったんだけどな | 还是石锅的比较好吃
EP04: ねえ | 对吧
EP04: ぜいたく言うな | 别太挑了
EP04: テンションが少し上がるとき | 此刻的我有些许兴奋
EP04: それは… | 那是因为…
EP04: 家の近くにコンビニが出来たとき | 家附近新开了间便利店
EP04: 今日じゃん | 就在今天啊
EP04: ちょっくら　コンビニ行ってきまーす | 我去一趟便利店
EP04: ちょっと待って | 等一下
EP04: トイレットペーパー買ってきて | 顺便买点厕纸吧
EP04: スーパーで買った方が安いよ | 去超市买更便宜哦
EP04: もう残り0.3ロールぐらいしかないから | 只剩下大概0.3卷了
EP04: それはえらいこっちゃ | 那可真不得了
EP04: いや　お前　その格好で外出んの | 你啊 打算穿这身出门吗
EP04: 女　捨て過ぎ | 女人的尊严呢
EP04: 「エクソシスト」？ | 「驱魔人」？
EP04: ついでに「ラキスト」買ってきて | 顺便帮我买包「LUCKY STREAM」
EP04: 買えるかあ | 我怎么买啊
EP04: まあ　確かに　この格好で谷くんに会えるかっていったら… | 不过确实 要是让我这副打扮去见谷同学…
EP04: 絶対無理だな | 肯定做不到
EP04: あれ | 咦
EP04: いや　マジか　どんな偶然 | 真的假的 太巧了吧
EP04: チラシのクーポン　持ってきた | 传单上的优惠券带了吗
EP04: 当たり前 | 那当然
EP04: ってか　お前　それ中学のジャージじゃん | 话说你这不是初中的运动服吗
EP04: んなもん　外で着んなよ | 这玩意别穿到外面啊
EP04: そっちこそ部屋着のふりして　やや外出を意識したおしゃれジャージ | 看你那身假模假样的居家服 出个门花了不少心思吧
EP04: 往生際悪いな | 真是死要面子
EP04: うるせえ | 要你管
EP04: 平　働いてる | 平在这里兼职啊
EP04: 初日からウキウキ来んなよ | 刚开业就兴冲冲过来干嘛
EP04: いや　来るし | 必须得来吧
EP04: ってか　平　家この辺じゃなくない | 话说你家不在这附近吧
EP04: 学校から近い方が平日楽だろ | 离学校近点 平时更方便吧
EP04: 近所だと同中のヤツとか来るし | 在家附近还会有初中同学过来
EP04: いいじゃん別に　友達来んの | 有朋友来 不是挺好的吗
EP04: ほかのお客様のご迷惑になるので | 为了不给其他客人添麻烦
EP04: さっさと買い物済ませて　退店してくれやがりますか | 请两位尽快挑选商品 不要在店里滞留太久
EP04: 急に店員の顔になった | 突然变成店员脸了
EP04: なんか | 总觉得
EP04: 同級生の男子がレジやってるとこで　トイレットペーパー買うの恥ずかしいなあ | 在同班男生收银的店里买厕纸有点尴尬
EP04: もっと恥じるとこあるだろ | 还有更尴尬的地方吧
EP04: どうでもいいわ　お前の恥じらい | 谁管你们尴不尴尬
EP04: じゃあな | 拜拜
EP04: チケット発券とフリマの発送のとき来るね | 下次取票或寄快递的时候我会来这的
EP04: 作業量　増やすな | 别给我增加工作量
EP04: ガパチョのおすすめ　うめえ | 河童推荐的还挺好吃
EP04: やるなあ　ガパチョ | 不赖啊 河童
EP04: 今日って　雨降ったっけ | 今天下过雨吗
EP04: 夕方　一瞬 | 傍晚那会吧
EP04: すぐ　やんだけど | 没多久就停了
EP04: やっぱり | 果然
EP04: 雨上がりのいい匂いする | 雨后的味道真好闻
EP04: すまん　分からん | 抱歉 我没懂
EP04: えっと　この　草とか土の… | 就那种 青草和泥土的…
EP04: いや　ごめん　忘れて | 抱歉 当我没说
EP04: 「カブ」のギアチェン音　警察か | 「Cub」的换挡声 是警察吗
EP04: こっち来る | 来这边了
EP04: 逃げろ　逃げろ | 快逃快逃
EP04: あれ | 诶
EP04: ナベ | 渡边
EP04: どうしたの | 你怎么来了
EP04: バイク走らせついでに寄り道 | 骑摩托兜风 顺便来一趟
EP04: ここの道　風になれるんだよね | 这条路骑起来跟飞一样
EP04: いちばん捕まりそうなヤツ来ちゃった | 来了个最有可能被抓的人
EP04: なんかヤンキーカップルたむろってて　最悪って思ったけど | 我还以为是一对不良情侣蹲在这呢
EP04: 鈴木と山田でよかった | 还好是铃木和山田
EP04: 友達に最悪と思われてた | 被朋友当成不良了
EP04: ってか　鈴木　それで外出れるの強くない | 话说你这身打扮都能出门 真厉害
EP04: 近所だし　よくない | 离家又不远 无所谓吧
EP04: 中学ジャージはやべえだろ | 初中运动服也太随便了吧
EP04: これ　谷くん　見せたらどう思うだろうね | 要是让谷同学看见了 他会怎么想呢
EP04: 無理　無理　見せれん　こんな姿 | 不行不行 不能让他看见
EP04: そこまでふだんとギャップなくね | 跟平时也没那么大区别吧
EP04: あるわい | 有区别
EP04: まあ　けど大丈夫 | 但是没关系
EP04: 谷くんはこんな時間にコンビニで買い食いなんてしませ… | 谷同学不可能这个时间来便利店买东西吃…
EP04: 鈴木さん | 铃木同学
EP04: と　山田くんと渡辺さん | 还有山田同学和渡边同学
EP04: 遅っ | 好慢
EP04: おい　谷　なんでこんな時間にうろついてんだ | 喂 谷 为什么你这个时间出来闲逛
EP04: 不良だ　不良だ | 不良少年
EP04: 自分たちのこと　棚に上げないでよ | 倒是问问你们自己啊
EP04: 鈴木さん　なんで消えたの | 铃木同学怎么不见了
EP04: まあ　気にしてやるな | 哎 别在意这么多
EP04: とりあえず　買い物済ませな | 总之去买东西吧
EP04: 鈴木なんて　ここにいなかった | 铃木一开始就不在这里
EP04: いや　なんかつっこめよ | 你倒是吐槽几句啊
EP04: よし　今のうちに逃げろ | 好 趁现在快逃
EP04: あとで弁解しときな | 之后记得跟他解释哦
EP04: すまない | 抱歉
EP04: おい　メット返せ | 喂 头盔还我
EP04: ごめん　谷くん | 抱歉 谷同学
EP04: ありのままの自分でいたいけど | 我虽然想做最真实的自己
EP04: さすがになんでもかんでも見せればいいってわけじゃないんだ | 但也做不到在你面前毫无保留
EP04: さらけ出し過ぎて幻滅されるのは… | 展示太多而让你失望什么的…
EP04: 嫌 | 我不要
EP04: よし　こんだけ走れば　アキレスと亀のごとく | 好 跑这么远了 阿基里斯肯定追不上乌龟
EP04: 鈴木さん | 铃木同学
EP04: ア…アキレス | 阿…阿基里斯
EP04: なんで逃げるの | 你为什么要跑
EP04: だって… | 因为…
EP04: 別に　気にしないのに | 我又不会介意
EP04: 谷くんから見て　大差なかったとしても　私が… | 就算谷同学觉得无所谓 我也…
EP04: 私の「バイブス」の問題だから | 这是我的「感觉」问题
EP04: バイブス… | 感觉…
EP04: 山田くんはいいのに | 山田同学就可以吗
EP04: いや　だって　山田だし | 毕竟那是山田嘛
EP04: 中学んときから知ってんのに　今更なんも | 初中就认识了 现在也没必要藏
EP04: 平くんと渡辺さんは | 平同学和渡边同学呢
EP04: ナベは高１からずっと一緒にいるし | 我和渡边自上高中就一直在一起
EP04: 平はまあ　平だし | 平 毕竟是平嘛
EP04: そう | 这样啊
EP04: 谷くん　今なんか　露骨にもやっとしたでしょ | 你刚才明显不高兴了吧
EP04: 露骨に逃げた人に言われたくない | 我可不想被逃走的人说
EP04: おっ　言うねえ | 挺会说嘛
EP04: ただ　山田くんたちと鈴木さんのつきあいの長さが　羨ましくなっただけ | 我只是羡慕山田同学他们跟你有这么长的交情
EP04: 谷くん | 谷同学
EP04: ここに料理があったとします | 假设这里有两份料理
EP04: で　適当な皿に適当に盛ったやつと | 其中一份餐具随意 摆盘也随意
EP04: かわいいお皿にきれいに盛れたやつがあったとして | 而另一份餐具好看 摆盘也精致
EP04: どっちも味は同じなんだけど | 虽然味道都是一样的
EP04: 私はきれいな方を谷くんに出したいわけ | 但我会想把好看的那一份给你
EP04: 見栄を張りたいの　要は | 说白了就是虚荣心
EP04: 別にどんな出され方でも | 无论摆盘方式如何
EP04: 好きなのがその料理だったら　気にならない | 只要那份料理我喜欢 我就不会介意
EP04: いや　それは困る | 不 我不赞同
EP04: お皿と盛りつけがきれいにきまったときは | 给别人餐具摆盘精致的料理时
EP04: このお皿いいねとか　盛りつけいいねって言われた方が上がります | 被人夸餐具或是摆盘好看 会更让人高兴吧
EP04: 上が… | 高兴…
EP04: バイブス？ | 感觉？
EP04: そう　バイブス | 没错 感觉
EP04: 谷くん　後ろ乗せて | 谷同学 让我坐后面
EP04: いいけど　あんまりうまくないかも | 可以 但我可能骑不稳
EP04: いいの　いいの | 没事的 没事的
EP04: 涼しい | 好凉快
EP04: あのさ | 你知道吗
EP04: 夏の夜の　なんかこの　絶妙な空気　気候 | 夏天夜晚这种绝妙的空气 这种氛围
EP04: って　ちょっとワクワクしない | 总会让人感到兴奋呢
EP04: そうだね | 是啊
EP04: あと　この | 还有
EP04: 雨上がりの匂い　好き | 这雨后的味道 我很喜欢
EP04: 私も好き | 我也喜欢
EP04: おい　鈴木妹 | 喂 铃木小妹
EP04: 夜遊びせずに　帰れよ | 晚上别在外面闲逛 快回家吧
EP04: あーい | 好
EP04: なんで警察に　顔が割れてるんだろう | 为什么会被警察认出来
EP04: 楽しみだな　夏祭りデート | 真是期待啊 夏日祭约会
EP04: テスト終わって　浮かれてんなあ | 考完试后一直很激动呢
EP04: 結局小さい方の祭り行くんだ | 最后还是要去小的祭典啊
EP04: 花火大会は | 烟花大会那边
